Security,Jan to Date Highest Price (KES),Jan to Date Lowest Price (KES),Closing Unit Price (KES),Total Volume Traded to Date,Total Turnover to Date (KES),date
ACORN D-REIT,23.84,20.18,23.84,5507532,116967003,2022-10-07
ACORN I-REIT,20.8,20.62,20.8,14527100,300301112,2022-10-07
