Contract Name,ISIN,Expiry Date,MTM Price,Volume,Previous Price,Total Value,Open Interest Contracts,Stock Future,date
SINGLE STOCK FUTURE (COOP),KE8000002546,15-Jun-2023,12.5,0.0,12.51,0.0,0.0,SINGLE STOCK FUTURE (COOP),2022-10-31
SINGLE STOCK FUTURE (COOP),KE8000004765,21-Sep-2023,12.84,0.0,12.85,0.0,0.0,SINGLE STOCK FUTURE (COOP),2022-10-31
SINGLE STOCK FUTURE (SCBK),KE8000001654,15-Dec-2022,139.4,0.0,140.0,0.0,0.0,SINGLE STOCK FUTURE (SCBK),2022-10-31
SINGLE STOCK FUTURE (SCBK),KE8000002108,16-Mar-2023,142.95,0.0,143.55,0.0,0.0,SINGLE STOCK FUTURE (SCBK),2022-10-31
SINGLE STOCK FUTURE (SCBK),KE8000002652,15-Jun-2023,146.45,0.0,147.1,0.0,0.0,SINGLE STOCK FUTURE (SCBK),2022-10-31
SINGLE STOCK FUTURE (SCBK),KE8000004872,21-Sep-2023,150.35,0.0,151.0,0.0,0.0,SINGLE STOCK FUTURE (SCBK),2022-10-31
SINGLE STOCK FUTURE (IMHP),KE8000001878,15-Dec-2022,17.14,0.0,16.85,0.0,1.0,SINGLE STOCK FUTURE (IMHP),2022-10-31
SINGLE STOCK FUTURE (IMHP),KE8000002215,16-Mar-2023,17.58,0.0,17.28,0.0,0.0,SINGLE STOCK FUTURE (IMHP),2022-10-31
SINGLE STOCK FUTURE (IMHP),KE8000002769,15-Jun-2023,18.01,0.0,17.71,0.0,0.0,SINGLE STOCK FUTURE (IMHP),2022-10-31
SINGLE STOCK FUTURE (IMHP),KE8000004989,21-Sep-2023,18.49,0.0,18.18,0.0,0.0,SINGLE STOCK FUTURE (IMHP),2022-10-31
